movie_title,pacing_efficiency,originality,family_friendly,plot_quality_rating,plot_quality_reasons_for_liking,plot_quality_reasons_for_disliking,dialogues,end_feeling_emotional_adjective,end_feeling_ending_rating,end_feeling_structural_adjective,immersive,impactful,overall_feeling,visuals,visual_effects,sound_audio_balance_issue,sound_bgm_quality,sound_song_tracks_quality,performance_of_actors,connected,references_contained,cognitive_requirement,technical_knowledge_required,photosensitivity_warnings,animal_harm,trailer_or_spoiler
Pan's Labyrinth,3,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,4,5,5,False,5,4,5,5,2,4,1,1,2,5
Toy Story 3,5,4,5,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,5,False,5,4,5,5,4,3,1,1,1,4
V for Vendetta,3,4,1,4,"['plot_twists', 'tight_structure']",['cliche'],4,bittersweet,4,satisfying,4,5,4,4,3,False,4,4,4,1,5,4,1,1,1,3
Rang De Basanti,4,4,2,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,4,5,4,4,3,False,5,5,5,5,5,3,1,1,1,4
Black,3,4,3,4,"['strong_pacing', 'tight_structure']","['cliche', 'predictable']",4,bittersweet,4,earned,4,5,4,4,3,False,4,3,5,1,1,3,1,1,1,4
Batman Begins,4,4,2,4,"['plot_twists', 'strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,4,5,4,4,4,False,5,4,5,4,3,3,1,2,1,4
"Swades: We, the People",3,4,4,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,energized,4,earned,4,5,4,4,3,False,5,5,5,5,1,3,1,1,1,3
Der Untergang,3,4,1,4,"['strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,4,4,4,False,4,3,5,1,1,4,1,3,3,1
Hauru no ugoku shiro,2,4,4,3,['unpredictable'],"['plot_holes', 'narrative_inconsistency']",3,bittersweet,3,rushed,5,4,4,5,5,False,5,4,4,1,2,4,1,1,2,4
A Beautiful Mind,3,4,3,4,"['unpredictable', 'plot_twists']",['predictable'],4,energized,4,earned,4,4,4,3,3,False,5,4,5,1,2,4,1,1,1,5
Hera Pheri,4,4,5,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,happy,5,satisfying,4,5,5,3,3,False,4,4,5,3,3,2,1,1,1,3
"Lock, Stock and Two Smoking Barrels",5,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,ambiguous,5,5,4,4,3,False,5,5,4,4,3,3,1,2,1,4
L.A. Confidential,4,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,5,4,5,5,3,4,1,1,1,3
Eskiya,3,4,1,4,"['strong_pacing', 'tight_structure']",['cliche'],4,bittersweet,4,earned,4,5,4,4,3,False,5,5,5,1,1,3,1,1,2,3
Heat,4,5,1,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,4,5,1,1,4,1,1,1,3
Casino,4,4,1,4,"['unpredictable', 'plot_twists', 'strong_pacing']",[],5,sad,5,earned,5,5,4,5,4,False,5,5,5,5,4,4,2,2,1,3
Andaz Apna Apna,4,5,4,3,"['unpredictable', 'plot_twists', 'strong_pacing']",['narrative_inconsistency'],5,happy,4,satisfying,4,5,5,3,3,False,4,4,5,3,4,2,1,1,1,3
Unforgiven,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,3,5,1,4,4,1,1,1,3
Indiana Jones and the Last Crusade,5,3,4,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,satisfying,5,5,4,4,4,False,5,3,5,5,4,2,1,1,1,3
Dom za vesanje,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,4,4,3,False,5,5,5,1,1,4,1,1,3,4
Tonari no Totoro,3,5,5,4,"['strong_pacing', 'tight_structure']",[],4,happy,5,satisfying,5,5,5,5,5,False,5,5,5,3,1,1,1,1,1,1
Die Hard,5,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,3,3,False,4,4,5,1,2,2,1,3,1,3
Ran,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,5,False,5,5,5,1,1,4,1,1,3,3
Raging Bull,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,4,5,1,3,4,1,2,1,3
Stalker,3,5,1,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,5,ambiguous,5,5,5,5,4,False,5,4,5,1,3,5,2,1,1,4
Höstsonaten,3,5,1,5,"['tight_structure', 'unpredictable', 'strong_pacing']",[],5,bittersweet,5,earned,5,5,5,5,3,False,4,3,5,1,1,5,1,1,1,5
The Message,3,4,3,4,"['strong_pacing', 'tight_structure']",[],2,energized,4,satisfying,4,5,4,4,3,False,5,4,4,1,1,4,1,1,2,1
Sholay,4,4,4,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,4,4,False,5,5,5,1,2,2,1,1,2,3
Monty Python and the Holy Grail,3,5,3,3,['unpredictable'],"['plot_holes', 'narrative_inconsistency']",5,neutral,2,abrupt,3,5,4,3,2,False,3,4,5,1,4,4,1,1,1,1
The Great Escape,4,4,4,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,4,5,4,4,3,False,5,4,5,1,2,2,1,1,1,1
To Kill a Mockingbird,3,5,3,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,3,3,4,1,1,1,3
Yôjinbô,4,5,2,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,5,5,5,5,4,False,5,4,5,5,3,3,1,1,1,1
Judgment at Nuremberg,3,4,1,5,"['tight_structure', 'strong_pacing']",[],5,bittersweet,5,earned,4,5,5,3,3,False,4,3,5,1,3,5,1,1,1,4
Some Like It Hot,4,5,2,4,"['strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,4,5,5,4,3,False,4,5,5,1,1,1,1,1,1,3
Smultronstället,3,5,2,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,4,5,1,1,5,2,1,1,1
Det sjunde inseglet,3,5,2,5,"['tight_structure', 'unpredictable']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,3,5,1,1,5,2,1,1,1
Du rififi chez les hommes,4,5,1,5,"['strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,5,4,3,False,4,4,4,1,1,3,1,1,1,5
Dial M for Murder,4,3,3,5,"['plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,4,4,4,4,3,False,4,3,5,1,1,3,1,1,1,4
Tôkyô monogatari,3,4,3,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,1,False,4,3,5,1,1,3,1,1,1,1
Rashômon,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,5,False,5,5,5,5,5,5,1,1,1,3
All About Eve,4,5,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,1,False,4,2,5,4,1,4,1,1,1,2
The Treasure of the Sierra Madre,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,4,3,5,3,3,4,1,1,1,4
To Be or Not to Be,5,5,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,4,5,5,4,3,False,3,3,5,1,2,3,1,1,1,5
The Gold Rush,3,5,5,4,"['strong_pacing', 'tight_structure']",[],4,happy,4,earned,4,5,4,4,4,False,4,4,5,3,2,2,1,1,1,3
Sherlock Jr.,5,5,5,3,"['strong_pacing', 'tight_structure', 'unpredictable']",['predictable'],1,happy,3,satisfying,5,5,5,5,5,False,1,1,5,1,4,3,1,1,1,1
Portrait de la jeune fille en feu,3,4,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,3,False,4,5,5,1,4,4,2,1,1,4
Pink,4,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,4,5,4,3,3,False,4,3,5,1,2,4,2,1,1,3
Koe no katachi,3,4,2,4,['tight_structure'],[],4,bittersweet,4,earned,5,5,4,5,4,False,4,4,5,1,1,4,1,1,1,3
Contratiempo,5,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,5,5,5,3,3,False,4,3,4,1,1,4,1,1,3,5
Ah-ga-ssi,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,5,5,4,False,5,4,5,1,1,4,1,1,1,5
Mommy,4,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,5,5,1,1,3,1,1,1,2
Haider,4,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",['narrative_inconsistency'],5,sad,5,earned,5,5,5,5,4,False,5,5,5,5,5,5,3,3,1,3
Logan,3,4,1,4,"['strong_pacing', 'tight_structure', 'unpredictable']",[],4,bittersweet,5,earned,4,5,4,4,3,False,4,4,5,3,3,3,1,1,2,3
Room,3,4,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,1,1,4
Relatos salvajes,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,satisfying,4,5,5,3,3,False,5,4,5,4,2,3,1,1,2,3
Soul,3,4,3,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,bittersweet,4,earned,5,4,4,5,5,False,5,5,4,4,1,3,1,1,1,3
Kis Uykusu,2,4,1,3,['tight_structure'],['predictable'],5,neutral,4,earned,4,5,4,5,1,False,3,3,5,1,2,5,1,1,1,3
PK,3,4,4,4,"['plot_twists', 'tight_structure']",['predictable'],4,bittersweet,4,earned,4,5,4,3,3,False,4,4,5,1,5,3,1,1,1,3
OMG: Oh My God!,4,4,3,4,"['strong_pacing', 'tight_structure']",[],4,energized,4,earned,4,4,4,3,3,False,3,4,4,1,4,4,1,1,1,3
The Grand Budapest Hotel,5,5,2,4,"['plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,5,4,5,1,4,3,1,1,1,3
Gone Girl,4,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,5,4,5,1,2,4,1,1,1,5
Ôkami kodomo no Ame to Yuki,3,4,4,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,4,5,4,False,5,5,5,1,1,3,1,1,3,3
Hacksaw Ridge,3,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",['cliche'],3,energized,5,satisfying,5,5,4,4,4,False,4,3,4,1,1,2,1,5,1,3
Inside Out,4,5,5,5,"['strong_pacing', 'tight_structure', 'unpredictable']",[],4,bittersweet,5,earned,5,5,5,5,5,False,5,4,5,5,2,3,1,1,1,4
Barfi!,4,4,5,4,"['unpredictable', 'strong_pacing', 'tight_structure']",['predictable'],3,bittersweet,4,satisfying,4,4,4,5,4,False,5,5,5,1,2,3,1,1,1,3
12 Years a Slave,3,4,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,5,5,4,False,4,4,5,5,1,4,1,1,3,3
Rush,4,3,2,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,4,4,4,4,4,False,4,4,5,1,1,3,2,3,1,3
Ford v Ferrari,4,3,3,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,4,earned,5,4,4,5,5,False,4,4,5,4,2,3,3,1,1,3
Spotlight,4,3,1,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,satisfying,4,5,5,3,3,False,4,3,5,1,1,4,2,1,1,3
Song of the Sea,3,4,4,4,"['strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,4,5,4,False,5,5,4,1,3,3,1,1,1,3
Kahaani,5,4,2,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],3,energized,5,earned,4,5,4,3,3,False,4,3,5,1,1,4,1,1,1,5
Zindagi Na Milegi Dobara,3,4,4,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,energized,4,satisfying,4,4,4,5,3,False,4,5,4,4,2,2,1,1,1,3
Prisoners,4,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,neutral,4,ambiguous,5,5,5,5,4,False,5,3,5,1,1,4,1,1,1,3
Mad Max: Fury Road,5,5,1,4,"['strong_pacing', 'tight_structure']",[],4,energized,5,satisfying,5,5,5,5,5,False,5,5,4,2,3,1,1,5,3,4
A Wednesday,5,4,2,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,energized,5,satisfying,5,5,4,3,3,False,4,3,5,1,2,4,1,1,1,4
Gran Torino,3,4,1,3,"['tight_structure', 'unpredictable']","['predictable', 'cliche']",4,bittersweet,4,earned,4,5,4,3,3,False,3,3,4,1,2,3,1,1,1,3
Harry Potter and the Deathly Hallows: Part 2,4,2,3,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,4,satisfying,4,5,4,4,5,False,4,4,4,5,5,3,1,3,2,3
Okuribito,4,5,4,5,"['strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,5,5,1,1,3,1,1,1,3
Hachi: A Dog's Tale,3,2,4,3,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",2,bittersweet,4,earned,4,4,4,3,3,False,4,3,4,1,1,1,1,1,1,3
Mary and Max,3,5,2,4,"['unpredictable', 'tight_structure', 'strong_pacing']",[],4,bittersweet,4,earned,4,5,4,5,5,False,4,4,5,1,2,4,1,1,1,3
How to Train Your Dragon,4,4,5,4,"['strong_pacing', 'tight_structure', 'plot_twists']",[],4,bittersweet,5,earned,5,5,4,5,5,False,5,5,4,4,3,3,1,1,2,3
Into the Wild,3,4,2,4,['tight_structure'],['predictable'],4,bittersweet,4,earned,5,5,4,5,4,False,5,5,5,1,1,3,1,1,3,2
No Country for Old Men,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,neutral,5,ambiguous,5,5,5,5,4,False,5,1,5,1,1,5,1,1,3,3
Lage Raho Munna Bhai,4,5,5,4,"['strong_pacing', 'tight_structure']",[],5,energized,5,earned,4,5,4,3,3,False,4,4,5,5,5,3,1,1,1,3
Million Dollar Baby,3,4,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,1,1,5
Hotel Rwanda,4,4,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,4,3,5,1,1,4,1,3,1,2
Taegukgi hwinalrimyeo,4,3,1,4,"['plot_twists', 'strong_pacing']",['predictable'],3,bittersweet,4,earned,4,4,4,4,4,False,4,3,4,1,1,2,1,3,1,3
Before Sunset,3,4,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,ambiguous,5,5,4,3,1,False,4,4,5,5,5,4,1,1,1,3
Munna Bhai M.B.B.S.,4,4,4,4,"['strong_pacing', 'tight_structure']",['predictable'],4,happy,4,earned,4,5,4,3,3,False,4,4,5,3,3,2,1,1,1,3
Salinui chueok,4,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,ambiguous,5,5,5,4,3,False,4,3,5,1,3,3,1,1,1,3
Dil Chahta Hai,3,4,3,4,['tight_structure'],[],5,happy,4,earned,4,5,4,4,3,False,5,5,4,1,2,2,1,1,1,2
Kill Bill: Vol. 1,4,5,1,4,"['unpredictable', 'plot_twists', 'strong_pacing']",[],4,energized,4,satisfying,5,5,5,5,4,False,5,5,5,3,5,3,1,4,1,3
Finding Nemo,4,4,5,4,"['strong_pacing', 'tight_structure']",[],4,happy,4,earned,4,4,4,5,5,False,4,3,4,3,3,2,1,1,2,3
Catch Me If You Can,4,4,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,satisfying,4,4,4,4,4,False,4,4,5,4,2,3,1,1,1,3
Amores perros,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,earned,5,5,5,4,3,False,4,4,5,5,2,4,1,1,5,5
"Monsters, Inc.",4,5,5,4,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,4,5,5,False,5,5,5,5,3,2,1,1,1,3
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",4,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",['narrative_inconsistency'],4,bittersweet,5,earned,5,5,5,5,5,False,5,5,5,5,5,5,4,5,1,5
Lagaan: Once Upon a Time in India,2,4,5,4,"['unpredictable', 'strong_pacing', 'tight_structure']","['predictable', 'cliche']",4,energized,5,satisfying,5,5,4,4,3,False,5,5,4,1,2,2,1,1,1,3
The Sixth Sense,4,5,3,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,1,1,3,1,1,1,5
La leggenda del pianista sull'oceano,2,5,3,3,['tight_structure'],"['predictable', 'cliche']",4,bittersweet,5,earned,3,4,4,5,4,False,5,5,5,1,1,4,1,1,1,3
The Truman Show,4,5,4,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,satisfying,5,5,5,4,4,False,5,4,5,5,3,4,1,1,1,3
"Crna macka, beli macor",4,5,2,4,"['unpredictable', 'plot_twists', 'strong_pacing']","['plot_holes', 'narrative_inconsistency']",4,energized,4,satisfying,5,5,4,4,3,False,5,5,4,1,4,3,1,2,3,2
The Big Lebowski,3,5,1,3,['unpredictable'],"['plot_holes', 'narrative_inconsistency']",5,neutral,4,satisfying,5,5,5,4,3,False,5,5,5,1,3,3,1,1,1,3
Fa yeung nin wah,3,5,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,satisfying,5,5,5,5,4,False,5,5,5,1,2,4,1,1,1,3
Trainspotting,5,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,5,4,False,4,5,5,1,3,3,1,2,1,3
Fargo,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,1,2,3,1,1,1,3
Underground,2,5,1,4,"['unpredictable', 'tight_structure']",['narrative_inconsistency'],4,bittersweet,4,earned,5,5,4,4,3,False,5,5,4,1,5,5,2,2,2,3
La haine,4,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,3,False,4,5,5,1,2,3,1,2,1,4
Dilwale Dulhania Le Jayenge,3,3,5,4,"['strong_pacing', 'tight_structure']","['predictable', 'cliche']",5,happy,5,earned,4,5,5,4,3,False,5,5,5,1,1,1,1,1,1,1
Before Sunrise,3,4,3,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,ambiguous,5,5,5,4,3,False,4,4,5,5,3,4,1,1,1,2
Trois couleurs: Rouge,4,5,2,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,5,4,5,5,4,5,2,1,1,1
Chung Hing sam lam,3,5,2,4,"['unpredictable', 'strong_pacing']",[],5,energized,4,earned,5,5,5,5,4,False,5,5,5,3,2,3,1,2,1,2
Jurassic Park,5,5,4,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,energized,4,satisfying,5,5,5,5,5,False,5,5,4,3,3,3,1,2,4,3
In the Name of the Father,4,3,1,5,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,satisfying,5,5,5,4,3,False,4,5,5,1,5,4,1,1,1,3
Ba wang bie ji,4,5,1,5,"['strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,5,False,5,5,5,5,5,4,3,1,1,5
Dà hóng denglong gaogao guà,3,4,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,sad,5,earned,5,5,4,5,4,False,4,4,5,1,1,4,1,1,1,3
Dead Poets Society,3,3,4,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,4,5,4,3,3,False,4,4,5,3,3,3,1,1,1,3
Stand by Me,3,4,2,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,4,3,False,4,5,5,1,2,2,1,1,1,2
Platoon,4,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,4,4,False,5,4,5,1,4,4,1,1,4,3
"Paris, Texas",3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",['predictable'],5,bittersweet,5,earned,5,5,5,5,3,False,5,5,5,1,1,3,1,1,1,5
Kaze no tani no Naushika,3,5,4,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,4,satisfying,5,5,4,5,4,False,5,4,4,4,4,4,1,1,4,3
The Thing,3,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,ambiguous,5,5,5,4,5,False,5,5,4,1,1,3,1,1,5,4
Pink Floyd: The Wall,3,5,1,4,"['unpredictable', 'tight_structure']",[],2,bittersweet,5,earned,5,5,5,5,5,False,5,5,4,1,4,5,2,4,1,3
Fitzcarraldo,3,5,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,bittersweet,4,earned,5,5,4,5,4,False,4,4,5,1,1,4,1,1,2,3
Fanny och Alexander,2,5,1,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,4,5,1,4,5,1,1,1,3
Blade Runner,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']","['predictable', 'narrative_inconsistency']",4,bittersweet,4,ambiguous,5,5,5,5,5,False,5,5,4,4,4,4,1,2,1,3
The Elephant Man,3,4,2,4,"['strong_pacing', 'tight_structure']",[],3,bittersweet,5,earned,5,5,4,5,5,False,4,3,5,1,1,3,1,1,1,3
Life of Brian,4,5,2,4,"['unpredictable', 'tight_structure']",[],5,bittersweet,5,satisfying,4,5,5,3,3,False,3,5,5,1,5,3,1,1,1,2
The Deer Hunter,3,5,1,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,bittersweet,4,earned,5,5,5,4,4,False,5,4,5,1,1,4,1,4,3,3
Rocky,3,4,3,4,"['strong_pacing', 'tight_structure']",['predictable'],4,bittersweet,5,earned,4,5,4,3,3,False,5,5,5,3,1,2,1,1,1,4
Network,4,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,disappointed,5,earned,4,5,5,3,2,False,3,2,5,1,2,4,2,1,1,4
Barry Lyndon,2,4,2,4,"['tight_structure', 'unpredictable']","['predictable', 'cliche']",3,sad,4,earned,5,5,4,5,4,False,5,5,4,1,1,4,1,1,3,3
Zerkalo,3,5,2,4,"['unpredictable', 'tight_structure']",['narrative_inconsistency'],4,bittersweet,5,earned,5,5,5,5,4,False,5,5,4,4,5,5,4,1,2,1
Chinatown,3,4,1,5,"['unpredictable', 'plot_twists', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,5,4,5,1,1,3,1,1,1,5
Paper Moon,3,4,3,4,"['strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,4,4,5,3,False,4,4,5,1,2,3,1,1,1,1
Viskningar och rop,3,5,1,4,['tight_structure'],[],4,bittersweet,5,earned,5,5,4,5,1,False,4,4,5,1,1,5,1,1,1,4
Solaris,2,5,2,4,['unpredictable'],[],4,bittersweet,5,ambiguous,5,5,5,5,4,False,5,4,4,1,4,5,2,1,1,4
Le samouraï,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,5,earned,5,5,5,5,4,False,4,3,5,1,1,3,1,1,1,3
Cool Hand Luke,3,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,bittersweet,4,earned,5,5,5,4,3,False,5,3,5,1,1,3,1,1,3,3
Persona,3,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,neutral,5,ambiguous,5,5,5,5,4,False,4,3,5,1,4,5,4,4,1,1
Andrei Rublev,2,5,1,4,"['unpredictable', 'tight_structure']",['narrative_inconsistency'],4,bittersweet,5,earned,5,5,4,5,3,False,4,3,5,4,5,5,4,1,5,1
La battaglia di Algeri,4,5,1,5,"['unpredictable', 'strong_pacing', 'tight_structure']",[],4,bittersweet,5,earned,5,5,5,4,3,False,5,4,5,1,4,4,2,1,1,3
El ángel exterminador,3,5,1,5,"['unpredictable', 'tight_structure']",[],4,sad,5,earned,5,5,5,4,1,False,3,1,4,1,4,5,2,1,2,3
What Ever Happened to Baby Jane?,4,5,1,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,4,4,3,False,4,4,5,3,2,4,1,1,2,5
Sanjuro,3,3,3,4,"['strong_pacing', 'tight_structure', 'plot_twists']",[],4,bittersweet,5,earned,4,4,4,5,4,False,4,4,5,3,2,2,1,1,1,3
The Man Who Shot Liberty Valance,3,4,3,4,"['unpredictable', 'plot_twists', 'tight_structure']",[],4,bittersweet,4,earned,4,5,4,4,3,False,4,3,5,3,4,3,1,1,2,5
Ivanovo detstvo,3,5,2,4,"['unpredictable', 'strong_pacing', 'tight_structure']",[],3,sad,5,earned,5,5,5,5,3,False,4,3,5,1,2,4,2,1,1,3
Jungfrukällan,3,4,1,4,"['unpredictable', 'tight_structure']",[],4,bittersweet,5,earned,5,5,4,5,1,False,4,2,5,1,4,4,1,1,5,3
Inherit the Wind,3,3,3,4,"['tight_structure', 'strong_pacing']",[],5,bittersweet,4,earned,4,5,4,3,3,False,4,3,5,1,1,4,2,1,1,3
Les quatre cents coups,3,5,2,4,"['unpredictable', 'strong_pacing']",[],4,bittersweet,5,ambiguous,4,5,5,4,3,False,4,3,5,4,3,3,1,1,1,2
Ben-Hur,2,4,3,4,"['strong_pacing', 'tight_structure']",['predictable'],2,happy,4,earned,5,5,4,5,5,False,5,5,4,1,1,2,1,1,3,1
Kakushi-toride no san-akunin,3,5,4,4,"['strong_pacing', 'tight_structure']",[],3,happy,4,earned,4,5,4,5,3,False,4,3,5,1,1,2,1,1,2,1
Le notti di Cabiria,3,4,1,4,['unpredictable'],[],4,bittersweet,5,earned,4,5,4,4,3,False,5,4,5,3,3,4,1,1,1,3
Kumonosu-jô,4,5,1,5,"['unpredictable', 'plot_twists', 'strong_pacing', 'tight_structure']",[],5,sad,5,earned,5,5,5,5,4,False,4,4,5,1,4,4,1,1,3,4
